sha	commit_date	author	committer	signed	parents	subject
be4939271e761c4946afead0d78a18c33d97987a	2026-08-31T09:34:54+10:00	mssonicbld	GitHub	signed	0b53c834b469a58214758527716e2268219b9936	[submodule] Update submodule sonic-utilities to the latest HEAD automatically (#29219)
0b53c834b469a58214758527716e2268219b9936	2026-08-31T09:34:47+10:00	mssonicbld	GitHub	signed	05752f45980ed88bdf394253941cdb4ff51fe94f	[submodule] Update submodule sonic-swss to the latest HEAD automatically (#29218)
05752f45980ed88bdf394253941cdb4ff51fe94f	2026-08-31T09:34:39+10:00	mssonicbld	GitHub	signed	1fd5f95d672fad22e8275e8de28a06da83cd2fae	[submodule] Update submodule sonic-sairedis to the latest HEAD automatically (#29217)
1fd5f95d672fad22e8275e8de28a06da83cd2fae	2026-08-31T09:34:26+10:00	mssonicbld	GitHub	signed	a1249a8adeaca8bd1d051d2d3aa8dca53bef130c	[submodule] Update submodule sonic-platform-common to the latest HEAD automatically (#29193)
a1249a8adeaca8bd1d051d2d3aa8dca53bef130c	2026-08-31T09:33:46+10:00	mssonicbld	GitHub	signed	adcef327eb01a9c35f4e87aa4c9923db1dc0da28	[submodule] Update submodule sonic-gnmi to the latest HEAD automatically (#28991)
adcef327eb01a9c35f4e87aa4c9923db1dc0da28	2026-08-26T23:46:37-07:00	yijingyan2	GitHub	signed	08d5588e1e51c1d2cc3826f5197193a8b7985a6e	[docker-ptf][202605] make external package versions reproducible and refreshable (#29063)
08d5588e1e51c1d2cc3826f5197193a8b7985a6e	2026-08-27T02:14:08+10:00	mssonicbld	GitHub	signed	f84a6f4b9b2e26441426c526be6e608bc45d8947	[nvidia-bluefield] Preserve MFT parent dep for kernel-mft-dkms (#29199)
f84a6f4b9b2e26441426c526be6e608bc45d8947	2026-08-27T01:13:54+10:00	mssonicbld	GitHub	signed	afa57942bfdaaa76181a12098f64b360d925e9db	[Mellanox] [logging] mellanox-fw-manager: surface and parse mlxfwmanager errors from stdout when stderr is empty (#29198)
afa57942bfdaaa76181a12098f64b360d925e9db	2026-08-25T20:33:02-07:00	rjojupom-cisco	GitHub	signed	2e111655037565fa8cff7b11aa342b9728fbcd2e	Update cisco-8000.ini (#29184)
2e111655037565fa8cff7b11aa342b9728fbcd2e	2026-08-26T08:13:11+10:00	mssonicbld	GitHub	signed	150f8fda6b4342b18c0037d1389c10b51acec9c5	[docker-fpm-frr]: Fix prefix_list script skipping on SmartSwitch (#29041)
150f8fda6b4342b18c0037d1389c10b51acec9c5	2026-08-25T13:19:41-07:00	Vaibhav Hemant Dixit	GitHub	signed	4c60e808f396ee82336f711f6076ec7c44a91657 5468218a81f8dd44121534ad845d016927521df8	Merge pull request #29013 from mssonicbld/cherry/202605/28733
4c60e808f396ee82336f711f6076ec7c44a91657	2026-08-25T13:19:38-07:00	Vaibhav Hemant Dixit	GitHub	signed	bda2add1442abd1972d083e33d16439bdeafac43 3719fbc9e6677ff8411d9bf4920b2de496d1a83a	Merge pull request #29070 from mssonicbld/cherry/202605/28714
